# lon lat
7.5087023 51.4182108
7.5087553 51.4182015
7.5088088 51.418192
7.5088343 51.4181876
7.5089531 51.4181665
7.508984 51.4181612
7.5090075 51.4181572
7.5100956 51.4179688
7.5108236 51.4178422
7.510917 51.4179107
7.5112269 51.4181388
7.5115586 51.4180817
7.5117667 51.41814
7.5117313 51.418198
7.5117568 51.418207
7.5118106 51.4182259
7.5118278 51.418232
7.5118552 51.4182416
7.5118701 51.4182469
7.5119266 51.4182667
7.5118316 51.4183018
7.5116243 51.418375
7.5115692 51.4183943
7.5111618 51.4185733
7.5110156 51.4186271
7.5108308 51.4186949
7.5102516 51.4188657
7.5099289 51.4189507
7.5095986 51.4190539
7.5094949 51.4190862
7.5093002 51.4191639
7.5092092 51.4192002
7.5090028 51.4192648
7.508897 51.4193307
7.5088062 51.4193876
7.5086993 51.4195039
7.5086806 51.419556
7.5086476 51.4196274
7.5086362 51.4196668
7.5086168 51.4197339
7.5085917 51.4198212
7.5085905 51.4198325
7.50855 51.4202338
7.5084407 51.4203688
7.5083655 51.4205902
7.5082988 51.4209101
7.5082443 51.4210587
7.5081507 51.421151
7.5081182 51.4211831
7.508065 51.4212353
7.508005 51.4212275
7.507689 51.4211857
7.5075471 51.4211661
7.5074873 51.4211662
7.507341 51.4211609
7.5073157 51.4211682
7.5072121 51.4212195
7.5071982 51.4212367
7.5071633 51.4212793
7.5071128 51.4214108
7.5071247 51.4216004
7.5071255 51.4216147
7.5071255 51.4216879
7.5071253 51.4217313
7.5071252 51.4217956
7.5071445 51.4219571
7.50715 51.4221064
7.5071439 51.4222082
7.5071484 51.4222236
7.5071625 51.4222718
7.5072403 51.4225368
7.5073364 51.4228658
7.5073517 51.4229317
7.5073089 51.4230255
7.5070206 51.4232134
7.5069899 51.4232334
7.5068703 51.4233226
7.5066977 51.4234625
7.5064727 51.4236368
7.5062556 51.4237933
7.5059959 51.4239588
7.50584 51.4240779
7.5056563 51.4242153
7.5056351 51.424234
7.5055906 51.4242664
7.5054111 51.4244202
7.5052147 51.4246444
7.5051086 51.4247322
7.5049661 51.4247942
7.5057462 51.4249471
7.5057744 51.4249526
7.5058258 51.4252034
7.5058628 51.425384
7.5057785 51.4257802
7.5057397 51.4259659
7.5058175 51.4261335
7.5055146 51.4263293
7.5053673 51.4264246
7.5053431 51.4264403
7.5046755 51.426872
7.504829 51.426909
7.5055676 51.4270669
7.5057802 51.4271337
7.505943 51.4271849
7.5062161 51.4272708
7.5062913 51.4272868
7.5069248 51.4274215
7.5069867 51.4274347
7.5073931 51.4275316
7.5077247 51.4276081
7.5084776 51.4277943
7.5084245 51.4279717
7.5083741 51.4281402
7.5088223 51.428554
7.5089539 51.4286449
7.5090183 51.4286862
7.5097235 51.4291386
7.5103965 51.429531
7.5104738 51.4295761
7.5105207 51.4300469
7.5107047 51.43044
7.5107847 51.4305945
7.5111054 51.4308857
7.5112538 51.4310212
7.5112842 51.4310489
7.5113085 51.4310711
7.5113281 51.4313408
7.5113783 51.4316839
7.5113921 51.4317788
7.5114876 51.4320056
7.511578 51.4322207
7.511584 51.4322646
7.5116311 51.4326158
7.5116608 51.4328386
7.5116962 51.4332825
7.5118344 51.4334192
7.5124129 51.4335748
7.5131895 51.4337814
7.5132433 51.4337947
7.5136516 51.4339173
7.5140982 51.4340392
7.5141017 51.4340402
7.5143156 51.4340834
7.5153144 51.4343557
7.5156101 51.4344294
7.5159098 51.4345017
7.5162075 51.4345691
7.516517 51.4346768
7.5165924 51.4346515
7.5171943 51.434761
7.5175279 51.4348123
7.5179185 51.4348722
7.5179943 51.4348864
7.5182519 51.4349345
7.5184467 51.4349481
7.5186438 51.4349753
7.5190721 51.4350547
7.5194459 51.4351303
7.5197761 51.4352155
7.520107 51.4352989
7.520355 51.4353765
7.5206854 51.4355053
7.5209739 51.4356254
7.5212597 51.4357499
7.5216293 51.4359273
7.5216684 51.4359476
7.5216923 51.43596
7.5219518 51.4360948
7.521962 51.4361034
7.5220091 51.4361439
7.5220944 51.4361924
7.5221106 51.4362018
7.5221803 51.4362625
7.5225092 51.4364451
7.5226706 51.4365347
7.5227303 51.4365678
7.5228828 51.4366524
7.5230658 51.4367541
7.5231375 51.4367763
7.5237517 51.4363998
7.5241873 51.4361866
7.5243502 51.4361006
7.5244855 51.4360278
7.5245103 51.4360149
7.5250078 51.4357478
7.5250334 51.4357388
7.5250955 51.4357168
7.5251189 51.4357085
7.525799 51.435489
7.5261641 51.4353546
7.5262904 51.435308
7.5264962 51.4352253
7.5267739 51.4351139
7.5272352 51.4349018
7.527686 51.4346789
7.5277085 51.4346678
7.5281366 51.4344574
7.5286141 51.4342594
7.5288289 51.4343459
7.5290277 51.434373
7.5293417 51.4343571
7.5302124 51.4342578
7.5303536 51.4342872
7.5308286 51.4343856
7.5312183 51.434499
7.531384 51.4345654
7.5315793 51.4346435
7.5318978 51.4348267
7.5321811 51.4350293
7.5324262 51.4352498
7.5326121 51.4354907
7.5328332 51.4359139
7.5328845 51.4360122
7.5331243 51.4365238
7.5331529 51.4365773
7.5331822 51.4366323
7.5334178 51.4371482
7.5336368 51.4376564
7.5338525 51.4381838
7.5340349 51.4387077
7.5341959 51.4391739
7.534208 51.4392092
7.5342206 51.439275
7.5342324 51.4393362
7.5342516 51.4394363
7.5342613 51.4394861
7.5342847 51.4396083
7.5343754 51.4400811
7.5344061 51.4401143
7.5344227 51.4401322
7.5344697 51.4401828
7.5344812 51.4401927
7.534491 51.4402012
7.5345193 51.4402252
7.5346017 51.4402956
